id;name;description;visible;created_at;updated_at
1;till;zen likewise;true;2025-06-18T22:16:00;2025-06-18T08:52:05
2;moisten until;once once blank;false;2025-06-18T21:34:33;2025-06-18T00:34:20
3;slump ha micromanage;unless;false;2025-06-18T02:02:44;2025-06-18T13:58:07
4;task instead;instead worth;false;2025-06-18T09:12:49;2025-06-18T00:36:46
5;uh-huh;mediocre;false;2025-06-18T22:34:08;2025-06-18T17:17:00
6;lest without markup;save angrily cautious;true;2025-06-18T09:24:06;2025-06-18T12:14:24
7;jaggedly;card geez comparison;false;2025-06-18T01:44:39;2025-06-18T15:28:11
8;though vivaciously outnumber;ethyl ha prudent;false;2025-06-18T12:10:23;2025-06-18T04:03:55
9;once oof swordfish;even;false;2025-06-18T18:23:08;2025-06-18T08:11:52
10;CD;aside electric yet;true;2025-06-18T18:51:41;2025-06-18T19:38:56
