id;title;description;start_date;end_date;work_group_id
1;schematise far-off;stuff distant trial;2025-06-13T21:11:39;2025-06-13T15:30:38;1
2;hence quantify;flowery release sans;2025-06-13T22:15:14;2025-06-13T01:06:45;2
3;since silently;offset wonderfully;2025-06-13T21:19:21;2025-06-13T03:34:27;3
4;necessary;in;2025-06-13T22:54:41;2025-06-13T17:15:54;4
5;athletic;if even;2025-06-13T14:00:00;2025-06-13T11:56:22;5
6;wholly;how whether;2025-06-13T22:36:22;2025-06-13T10:49:49;6
7;mountain edge;ha strictly;2025-06-13T10:32:55;2025-06-13T06:31:49;7
8;discontinue distinct;fuzzy from;2025-06-13T13:11:17;2025-06-13T01:53:24;8
9;at however pish;fly qualified;2025-06-13T09:07:43;2025-06-13T23:36:24;9
10;lonely lotion;incandescence;2025-06-13T07:47:18;2025-06-13T00:41:50;10
