id;title;description;create_time;update_time;deadline;archived;archived_date;work_group_id;priority_id;status_id
1;fond moor past;abnegate offend;2025-06-13T20:47:23;2025-06-13T18:22:48;2025-06-13T00:25:26;false;2025-06-13T01:16:35;1;1;1
2;formation;up;2025-06-13T19:53:49;2025-06-13T08:46:31;2025-06-13T13:29:27;true;2025-06-13T08:15:15;2;2;2
3;shipper;meaty;2025-06-13T13:02:37;2025-06-13T08:57:51;2025-06-13T19:25:05;false;2025-06-13T14:23:57;3;3;3
4;unlike since spirit;whose daily where;2025-06-13T12:53:39;2025-06-13T19:00:36;2025-06-13T22:45:50;false;2025-06-13T19:08:52;4;4;4
5;broadly before downright;healthily;2025-06-13T19:45:48;2025-06-13T22:13:20;2025-06-13T17:14:05;true;2025-06-13T15:17:55;5;5;5
6;like never enthusiastically;better;2025-06-13T19:00:10;2025-06-13T10:03:42;2025-06-13T07:48:15;true;2025-06-13T12:20:56;6;6;6
7;past or why;evenly;2025-06-13T02:05:15;2025-06-13T09:37:17;2025-06-13T05:58:09;false;2025-06-13T00:39:06;7;7;7
8;beside cappelletti um;an;2025-06-13T04:53:52;2025-06-13T13:35:13;2025-06-13T21:24:58;true;2025-06-13T19:39:25;8;8;8
9;minor how or;down blacken round;2025-06-13T07:21:29;2025-06-13T07:33:51;2025-06-13T04:08:41;false;2025-06-13T04:12:01;9;9;9
10;brisk pish;than;2025-06-13T20:35:40;2025-06-13T12:55:53;2025-06-13T16:04:37;true;2025-06-13T15:59:24;10;10;10
