id;name;description;creation_date
1;statement;prohibition pull;2025-06-13T13:06:45
2;the perfectly;or;2025-06-13T22:07:51
3;frankly how;near ah;2025-06-13T01:26:20
4;exalted unabashedly;wearily foolish;2025-06-13T09:26:07
5;forswear vice;afterwards obnoxiously round;2025-06-13T22:09:48
6;boo;huzzah braid irritably;2025-06-13T04:16:41
7;moisten awkwardly;noted frightened oof;2025-06-13T15:11:25
8;puny alb better;um cow;2025-06-13T20:30:44
9;boo upon;far even;2025-06-13T11:44:31
10;which;catalyst;2025-06-13T08:48:46
